timestamp,open,high,low,close,volume,source,symbol,interval
1686700800000,1740.12000000,1745.84000000,1738.26000000,1744.52000000,7910.41760000,binance_spot,ETHUSDT,1h
1686704400000,1744.52000000,1747.25000000,1741.69000000,1747.22000000,5013.86830000,binance_spot,ETHUSDT,1h
1686708000000,1747.21000000,1748.45000000,1744.43000000,1746.77000000,3719.28020000,binance_spot,ETHUSDT,1h
1686711600000,1746.77000000,1747.53000000,1744.12000000,1746.12000000,4444.58120000,binance_spot,ETHUSDT,1h
1686715200000,1746.11000000,1747.05000000,1741.63000000,1742.38000000,5336.30000000,binance_spot,ETHUSDT,1h
1686718800000,1742.38000000,1742.71000000,1737.00000000,1738.57000000,7573.38130000,binance_spot,ETHUSDT,1h
1686722400000,1738.57000000,1741.34000000,1737.87000000,1741.00000000,4022.07170000,binance_spot,ETHUSDT,1h
1686726000000,1741.01000000,1742.55000000,1738.75000000,1741.29000000,5841.75850000,binance_spot,ETHUSDT,1h
1686729600000,1741.28000000,1746.33000000,1740.90000000,1744.17000000,5055.31550000,binance_spot,ETHUSDT,1h
1686733200000,1744.18000000,1747.42000000,1743.27000000,1745.11000000,5592.97120000,binance_spot,ETHUSDT,1h
1686736800000,1745.11000000,1747.49000000,1743.73000000,1747.05000000,6785.69750000,binance_spot,ETHUSDT,1h
1686740400000,1747.05000000,1750.03000000,1744.88000000,1745.96000000,6687.47370000,binance_spot,ETHUSDT,1h
1686744000000,1745.96000000,1749.30000000,1743.42000000,1745.84000000,8670.90680000,binance_spot,ETHUSDT,1h
1686747600000,1745.84000000,1746.05000000,1737.38000000,1741.00000000,10084.35430000,binance_spot,ETHUSDT,1h
1686751200000,1741.01000000,1743.51000000,1738.85000000,1741.72000000,5943.28020000,binance_spot,ETHUSDT,1h
1686754800000,1741.72000000,1744.22000000,1737.41000000,1741.05000000,5274.74040000,binance_spot,ETHUSDT,1h
1686758400000,1741.04000000,1742.98000000,1738.15000000,1738.48000000,6399.42690000,binance_spot,ETHUSDT,1h
1686762000000,1738.49000000,1745.00000000,1731.43000000,1743.46000000,14902.09720000,binance_spot,ETHUSDT,1h
1686765600000,1743.45000000,1747.31000000,1720.01000000,1733.74000000,43336.32900000,binance_spot,ETHUSDT,1h
1686769200000,1733.75000000,1739.50000000,1726.89000000,1728.33000000,14344.84950000,binance_spot,ETHUSDT,1h
1686772800000,1728.34000000,1728.98000000,1630.43000000,1638.43000000,172022.29260000,binance_spot,ETHUSDT,1h
1686776400000,1638.44000000,1656.00000000,1631.28000000,1654.53000000,35891.04860000,binance_spot,ETHUSDT,1h
