timestamp,open,high,low,close,volume,source,symbol,interval
1686700800000,25934.24000000,26030.00000000,25911.60000000,25989.72000000,1127.65179000,binance_spot,BTCUSDT,1h
1686704400000,25989.72000000,26052.50000000,25957.95000000,26046.27000000,757.63957000,binance_spot,BTCUSDT,1h
1686708000000,26046.27000000,26055.99000000,26013.60000000,26027.40000000,688.05766000,binance_spot,BTCUSDT,1h
1686711600000,26027.40000000,26031.68000000,25964.46000000,25985.07000000,677.42228000,binance_spot,BTCUSDT,1h
1686715200000,25985.06000000,26005.36000000,25967.16000000,25981.01000000,581.10579000,binance_spot,BTCUSDT,1h
1686718800000,25981.00000000,25984.83000000,25837.13000000,25845.14000000,947.05325000,binance_spot,BTCUSDT,1h
1686722400000,25845.14000000,25925.13000000,25840.00000000,25894.54000000,591.60636000,binance_spot,BTCUSDT,1h
1686726000000,25894.53000000,25923.84000000,25872.02000000,25897.72000000,995.84490000,binance_spot,BTCUSDT,1h
1686729600000,25897.71000000,25942.88000000,25885.35000000,25928.30000000,682.54353000,binance_spot,BTCUSDT,1h
1686733200000,25928.30000000,25989.98000000,25911.23000000,25980.53000000,693.04545000,binance_spot,BTCUSDT,1h
1686736800000,25980.53000000,25988.67000000,25939.04000000,25956.99000000,784.08866000,binance_spot,BTCUSDT,1h
1686740400000,25957.00000000,26028.58000000,25950.00000000,25975.71000000,970.02164000,binance_spot,BTCUSDT,1h
1686744000000,25975.71000000,26085.33000000,25963.10000000,26022.15000000,1554.08203000,binance_spot,BTCUSDT,1h
1686747600000,26022.15000000,26029.98000000,25927.22000000,25990.00000000,1394.33783000,binance_spot,BTCUSDT,1h
1686751200000,25990.00000000,26030.00000000,25970.00000000,26001.27000000,958.62879000,binance_spot,BTCUSDT,1h
1686754800000,26001.26000000,26020.00000000,25950.00000000,25986.75000000,786.48022000,binance_spot,BTCUSDT,1h
1686758400000,25986.74000000,26012.02000000,25962.25000000,25965.86000000,723.52435000,binance_spot,BTCUSDT,1h
1686762000000,25965.87000000,26045.00000000,25888.00000000,26027.04000000,2025.51272000,binance_spot,BTCUSDT,1h
1686765600000,26027.03000000,26098.00000000,25753.38000000,25915.03000000,4206.21158000,binance_spot,BTCUSDT,1h
1686769200000,25915.02000000,25979.45000000,25833.88000000,25874.59000000,1576.36842000,binance_spot,BTCUSDT,1h
1686772800000,25874.58000000,25879.69000000,24820.56000000,24934.21000000,13801.71624000,binance_spot,BTCUSDT,1h
1686776400000,24934.21000000,25190.03000000,24826.08000000,25121.25000000,4418.26518000,binance_spot,BTCUSDT,1h
1686780000000,25121.25000000,25121.25000000,24950.00000000,25034.98000000,2326.53078000,binance_spot,BTCUSDT,1h
1686783600000,25034.98000000,25140.00000000,24972.37000000,25128.60000000,1809.57706000,binance_spot,BTCUSDT,1h
1686787200000,25128.60000000,25206.52000000,25084.26000000,25206.51000000,1307.44938000,binance_spot,BTCUSDT,1h
1686790800000,25206.52000000,25206.52000000,25030.01000000,25064.79000000,1269.01361000,binance_spot,BTCUSDT,1h
1686794400000,25064.79000000,25133.86000000,25050.73000000,25083.79000000,857.09120000,binance_spot,BTCUSDT,1h
1686798000000,25083.79000000,25093.69000000,25051.91000000,25065.35000000,821.83214000,binance_spot,BTCUSDT,1h
1686801600000,25065.35000000,25065.35000000,24980.00000000,25028.15000000,1458.45250000,binance_spot,BTCUSDT,1h
1686805200000,25028.15000000,25056.48000000,24924.61000000,25031.42000000,1845.15950000,binance_spot,BTCUSDT,1h
1686808800000,25031.42000000,25072.35000000,24906.00000000,24927.95000000,2303.79392000,binance_spot,BTCUSDT,1h
1686812400000,24927.94000000,25007.14000000,24872.35000000,24983.80000000,2125.73065000,binance_spot,BTCUSDT,1h
1686816000000,24983.81000000,25048.00000000,24960.00000000,24974.26000000,1760.88886000,binance_spot,BTCUSDT,1h
1686819600000,24974.27000000,25011.75000000,24900.38000000,24947.71000000,2346.93133000,binance_spot,BTCUSDT,1h
1686823200000,24947.71000000,24975.17000000,24873.05000000,24923.51000000,1649.06568000,binance_spot,BTCUSDT,1h
1686826800000,24923.51000000,25050.00000000,24800.00000000,25014.97000000,3027.89388000,binance_spot,BTCUSDT,1h
1686830400000,25014.97000000,25037.63000000,24921.11000000,24954.45000000,2136.83793000,binance_spot,BTCUSDT,1h
1686834000000,24954.45000000,25108.54000000,24940.00000000,25055.22000000,3171.54536000,binance_spot,BTCUSDT,1h
1686837600000,25055.22000000,25079.15000000,24992.05000000,25014.62000000,1660.89608000,binance_spot,BTCUSDT,1h
1686841200000,25014.62000000,25033.23000000,24953.02000000,24959.95000000,1465.75293000,binance_spot,BTCUSDT,1h
1686844800000,24959.96000000,25017.72000000,24929.00000000,24999.99000000,1044.19668000,binance_spot,BTCUSDT,1h
1686848400000,25000.00000000,25164.99000000,24963.42000000,25144.72000000,2120.36139000,binance_spot,BTCUSDT,1h
1686852000000,25143.85000000,25390.77000000,25068.20000000,25389.97000000,2952.36144000,binance_spot,BTCUSDT,1h
1686855600000,25389.97000000,25518.49000000,25349.22000000,25455.49000000,3500.64968000,binance_spot,BTCUSDT,1h
1686859200000,25455.49000000,25610.60000000,25220.25000000,25566.00000000,3305.06895000,binance_spot,BTCUSDT,1h
1686862800000,25566.00000000,25759.01000000,25511.98000000,25574.60000000,3404.24617000,binance_spot,BTCUSDT,1h
1686866400000,25574.60000000,25653.84000000,25549.06000000,25629.30000000,1833.93541000,binance_spot,BTCUSDT,1h
1686870000000,25629.29000000,25635.00000000,25554.80000000,25598.49000000,1295.70596000,binance_spot,BTCUSDT,1h
1686873600000,25598.49000000,25598.49000000,25440.39000000,25496.59000000,1526.44363000,binance_spot,BTCUSDT,1h
1686877200000,25496.59000000,25576.57000000,25452.98000000,25517.48000000,790.29299000,binance_spot,BTCUSDT,1h
1686880800000,25517.47000000,25560.10000000,25483.94000000,25554.88000000,884.29620000,binance_spot,BTCUSDT,1h
1686884400000,25554.88000000,25606.59000000,25530.52000000,25561.74000000,714.16786000,binance_spot,BTCUSDT,1h
1686888000000,25561.75000000,25629.73000000,25523.51000000,25528.77000000,1020.15967000,binance_spot,BTCUSDT,1h
1686891600000,25528.77000000,25570.70000000,25475.84000000,25553.04000000,1197.37288000,binance_spot,BTCUSDT,1h
1686895200000,25553.04000000,25628.77000000,25537.42000000,25578.58000000,1078.73245000,binance_spot,BTCUSDT,1h
1686898800000,25578.59000000,25623.87000000,25536.82000000,25537.01000000,774.22279000,binance_spot,BTCUSDT,1h
1686902400000,25537.00000000,25624.38000000,25537.00000000,25545.25000000,1261.91516000,binance_spot,BTCUSDT,1h
1686906000000,25545.25000000,25621.16000000,25545.24000000,25595.95000000,970.41927000,binance_spot,BTCUSDT,1h
1686909600000,25595.96000000,25603.92000000,25557.19000000,25570.00000000,941.11002000,binance_spot,BTCUSDT,1h
1686913200000,25570.00000000,25570.01000000,25462.03000000,25474.51000000,1934.80076000,binance_spot,BTCUSDT,1h
1686916800000,25474.51000000,25588.97000000,25473.00000000,25569.99000000,1279.65475000,binance_spot,BTCUSDT,1h
1686920400000,25570.00000000,25628.29000000,25487.22000000,25492.64000000,1667.89140000,binance_spot,BTCUSDT,1h
1686924000000,25492.64000000,25725.00000000,25175.56000000,25616.01000000,5032.36177000,binance_spot,BTCUSDT,1h
1686927600000,25616.00000000,25896.78000000,25558.33000000,25840.01000000,4960.14402000,binance_spot,BTCUSDT,1h
1686931200000,25840.00000000,25993.61000000,25774.02000000,25959.77000000,5304.24841000,binance_spot,BTCUSDT,1h
1686934800000,25959.77000000,26330.00000000,25952.22000000,26320.99000000,6550.06039000,binance_spot,BTCUSDT,1h
1686938400000,26321.00000000,26518.00000000,26274.21000000,26361.40000000,6463.50210000,binance_spot,BTCUSDT,1h
1686942000000,26361.41000000,26410.04000000,26286.84000000,26382.43000000,2548.48138000,binance_spot,BTCUSDT,1h
1686945600000,26382.43000000,26464.58000000,26336.78000000,26412.13000000,1782.85421000,binance_spot,BTCUSDT,1h
1686949200000,26412.13000000,26418.34000000,26287.97000000,26297.84000000,1386.50927000,binance_spot,BTCUSDT,1h
1686952800000,26297.84000000,26387.57000000,26297.83000000,26370.51000000,783.86677000,binance_spot,BTCUSDT,1h
1686956400000,26370.52000000,26384.58000000,26333.86000000,26345.00000000,743.40847000,binance_spot,BTCUSDT,1h
1686960000000,26345.01000000,26372.40000000,26313.11000000,26313.11000000,974.86014000,binance_spot,BTCUSDT,1h
1686963600000,26313.11000000,26336.27000000,26193.88000000,26198.47000000,1171.06641000,binance_spot,BTCUSDT,1h
1686967200000,26198.47000000,26293.30000000,26181.00000000,26276.67000000,897.65743000,binance_spot,BTCUSDT,1h
